Date,Open,High,Low,Close,Adj Close,Volume
3/31/00,1.137835,1.225446,1.125,1.212612,1.039651,404633600
6/30/00,0.94308,0.981027,0.922991,0.935268,0.801866,323097600
9/29/00,0.503348,0.517857,0.453125,0.459821,0.394234,7421640800
12/29/00,0.262277,0.267857,0.258929,0.265625,0.227738,630336000
3/30/01,0.402679,0.405714,0.381071,0.394107,0.337894,400349600
6/29/01,0.4225,0.448214,0.414286,0.415179,0.35596,515390400
9/28/01,0.280536,0.284107,0.274821,0.276964,0.237459,365108800
12/31/01,0.401964,0.404643,0.389821,0.391071,0.335291,137782400
3/28/02,0.423214,0.426429,0.418929,0.422679,0.36239,108455200
6/28/02,0.305357,0.318214,0.303571,0.316429,0.271295,269858400
9/30/02,0.257143,0.260179,0.2525,0.258929,0.221997,237697600
12/31/02,0.25,0.256429,0.249107,0.255893,0.219394,200726400
3/31/03,0.255893,0.259464,0.250714,0.2525,0.216485,256659200
6/30/03,0.333571,0.343036,0.331964,0.340357,0.29181,222152000
9/30/03,0.376607,0.378929,0.365,0.37,0.317225,285426400
12/31/03,0.38125,0.384464,0.378214,0.381607,0.327177,174451200
3/31/04,0.498571,0.499643,0.48125,0.482857,0.413985,390773600
6/30/04,0.581429,0.58875,0.569464,0.581071,0.49819,373044000
9/30/04,0.696429,0.70125,0.686607,0.691964,0.593266,425012000
12/31/04,1.15875,1.160714,1.143393,1.15,0.98597,278588800
3/31/05,1.516071,1.518571,1.485357,1.488214,1.275943,636134800
6/30/05,1.3075,1.327143,1.296786,1.314643,1.127129,418390000
9/30/05,1.868929,1.916071,1.852857,1.914643,1.641548,531633200
12/30/05,2.5325,2.586786,2.512143,2.5675,2.201285,624262800
3/31/06,2.258929,2.271786,2.222857,2.24,1.920498,815357200
6/30/06,2.056786,2.0625,2.017857,2.045357,1.753618,739695600
9/29/06,2.753929,2.768571,2.738571,2.749286,2.357141,405812400
12/29/06,2.998214,3.05,2.977143,3.03,2.597816,1076429200
3/30/07,3.367143,3.381429,3.3125,3.318214,2.844921,600558000
6/29/07,4.356071,4.428571,4.324643,4.358571,3.736887,1137841600
9/28/07,5.48,5.521429,5.455357,5.481071,4.69928,615101200
12/31/07,7.125,7.160714,7.0625,7.074286,6.065245,539333200
3/31/08,5.116786,5.203929,5.09,5.125,4.393996,768065200
6/30/08,6.078214,6.142857,5.950714,5.98,5.127044,684196800
9/30/08,3.866071,4.107143,3.796429,4.059286,3.48029,1626682400
12/31/08,3.070357,3.133571,3.047857,3.048214,2.613433,607541200
3/31/09,3.766071,3.8375,3.75,3.754286,3.218794,570080000
6/30/09,5.092143,5.135714,5.064286,5.086786,4.361233,434224000
9/30/09,6.6475,6.658929,6.521786,6.619643,5.675452,539585200
12/31/09,7.611786,7.619643,7.52,7.526071,6.45259,352410800
3/31/10,8.410357,8.450357,8.373571,8.392857,7.195743,430659600
6/30/10,9.168214,9.213214,8.928929,8.983214,7.701894,739452000
9/30/10,10.321429,10.357143,10.044643,10.133929,8.688478,673391600
12/31/10,11.533929,11.552857,11.475357,11.52,9.876846,193508000
3/31/11,12.37,12.492857,12.359286,12.446786,10.671442,274019200
6/30/11,11.953571,12.004643,11.887143,11.988214,10.278276,322954800
9/30/11,13.825714,13.888929,13.613571,13.618571,11.676089,547640800
12/30/11,14.411071,14.51,14.410357,14.464286,12.401175,179662000
3/30/12,21.741785,21.805714,21.355,21.4125,18.35833,731038000
6/29/12,20.642857,20.857143,20.508928,20.857143,17.882189,421500800
9/28/12,24.241072,24.325357,23.8125,23.825001,20.514425,535110800
12/31/12,18.233213,19.121429,18.178572,19.006071,16.439856,659492400
3/28/13,16.065001,16.136429,15.772143,15.809286,13.754398,442839600
6/28/13,13.977143,14.295357,13.888214,14.161786,12.402594,578516400
9/30/13,17.044643,17.202143,16.943214,17.026787,15.010164,260156400
12/31/13,19.791786,20.045713,19.785713,20.036428,17.766468,223084400
3/31/14,19.258215,19.314644,19.140356,19.169287,17.099306,168669200
6/30/14,23.025,23.432501,23.022499,23.2325,20.839512,197929200
9/30/14,25.202499,25.385,25.1325,25.1875,22.705524,221056400
12/31/14,28.205,28.282499,27.5525,27.594999,24.98366,165613600
3/31/15,31.522499,31.622499,31.09,31.1075,28.27492,168362400
6/30/15,31.3925,31.530001,31.215,31.3575,28.621202,177482800
9/30/15,27.5425,27.885,27.182501,27.575001,25.282701,265892000
12/31/15,26.752501,26.7575,26.205,26.315001,24.230719,163649200
3/31/16,27.43,27.475,27.219999,27.247499,25.225502,103553600
6/30/16,23.610001,23.942499,23.575001,23.9,22.261126,143345600
9/30/16,28.115,28.342501,27.950001,28.262501,26.467087,145516400
12/30/16,29.1625,29.299999,28.8575,28.955,27.254816,122345200
3/31/17,35.93,36.067501,35.752499,35.915001,33.952705,78646800
6/30/17,36.112499,36.240002,35.945,36.005001,34.178284,92096400
9/29/17,38.302502,38.532501,38,38.529999,36.718803,105199200
12/29/17,42.630001,42.647499,42.305,42.307499,40.463673,103999600
3/29/18,41.952499,42.9375,41.724998,41.945,40.280537,153594000
6/29/18,46.572498,46.797501,45.727501,46.2775,44.612492,90950800
9/28/18,56.197498,56.459999,56.005001,56.435001,54.595337,91717600
12/31/18,39.6325,39.84,39.119999,39.435001,38.282612,140014000
3/29/19,47.4575,47.52,47.134998,47.487499,46.297508,94256000
6/28/19,49.669998,49.875,49.262501,49.48,48.425846,124442400
9/30/19,55.224998,56.145,55.197498,55.9925,55.007805,103909600
12/31/19,72.482498,73.419998,72.379997,73.412498,72.337982,100805600
3/31/20,63.900002,65.622498,63,63.572498,62.790684,197002000
6/30/20,90.019997,91.495003,90,91.199997,90.32225,140223200
9/30/20,113.790001,117.260002,113.620003,115.809998,114.902199,142675200
12/31/20,134.080002,134.740005,131.720001,132.690002,131.877014,99116600